parkingLotSeq,PArkingLotName,parkingLotNewAddr,parkingLotOldAddr,IsChecked,modifyDate,regDate
204713,GS타임즈 구로동,서울특별시 구로구 디지털로32길 86 ,서울특별시 구로구 디지털로32길 86 ,0,2019-06-19 12:37:37,2018-11-16 14:09:12
204733,GS타임즈 신한은행제천금융센터,충청북도 제천시 의병대로 71 ,충청북도 제천시 의병대로 71 ,0,2018-11-26 15:01:18,2018-11-16 14:09:13
204753,GS타임즈 다이소수원화서,경기도 수원시 팔달구 화서동 410-1,경기도 수원시 팔달구 화서동 410-1,0,2018-11-20 15:43:57,2018-11-16 14:09:13
204769,GS타임즈 세이브존울산,울산광역시 남구 번영로 250번지 9  ,울산광역시 남구 번영로 250번지 9  ,0,2018-11-26 16:57:10,2018-11-16 14:09:14
204781,GS타임즈 화명카이저상가,부산시 북구 금곡대로 166 ,부산시 북구 금곡대로 166 ,0,2018-11-26 17:08:10,2018-11-16 14:09:14
204802,GS타임즈 울산삼산동,울산광역시 남구 삼산동 1554-3번지,울산광역시 남구 삼산동 1554-3번지,0,2018-11-26 16:58:16,2018-11-16 14:09:14
204804,GS타임즈 거제해맞이역,부산 연제구 거제동 676-1,부산 연제구 거제동 676-1,0,2018-11-26 17:10:30,2018-11-16 14:09:14
204806,GS타임즈 교대역제2,부산시 연제구 거제동 61-2,부산시 연제구 거제동 61-2,0,2018-11-26 17:11:46,2018-11-16 14:09:15
204827,GS타임즈 해운대역제2,부산 해운대구 좌동 148-1,부산 해운대구 좌동 148-1,0,2018-11-26 18:12:44,2018-11-16 14:09:15
204840,GS타임즈 방배열린문화센터,서울시 서초구 방배4동 852-14,서울시 서초구 방배4동 852-14,0,2020-03-06 14:21:28,2018-11-16 14:09:15
204855,GS타임즈 다이소구성,경기도 용인시 기흥구 마북동 467,경기도 용인시 기흥구 마북동 467,0,2018-11-23 11:46:23,2018-11-16 14:09:16
204874,GS타임즈 농협은행수원북문,경기도 수원시 팔달구 정조로 901  ,경기도 수원시 팔달구 정조로 901  ,0,2020-02-17 14:20:08,2018-11-16 14:09:16
204875,GS타임즈 탑마트진주,경상남도 진주시 도동로 251  ,경상남도 진주시 도동로 251  ,0,2018-11-26 17:06:14,2018-11-16 14:09:16
204876,GS타임즈 울산삼산동제2,울산광역시 남구 삼산동 1571-14,울산광역시 남구 삼산동 1571-14,0,2018-11-26 16:57:34,2018-11-16 14:09:16
204879,GS타임즈 천천동제2,경기도 수원시 장안구 천천동 524-1 ,경기도 수원시 장안구 천천동 524-1 ,0,2018-11-23 11:45:15,2018-11-16 14:09:16
204881,GS타임즈 다이소용인민속촌,경기도 용인시 기흥구 용구대로 1910  ,경기도 용인시 기흥구 용구대로 1910  ,0,2018-11-23 11:47:04,2018-11-16 14:09:17
204883,GS타임즈 다이소수원인계,경기 수원시 팔달구 인계동 1114-8,경기 수원시 팔달구 인계동 1114-8,0,2018-11-20 15:44:25,2018-11-16 14:09:17
204884,GS타임즈 문경,경상북도 문경시 영신로 12 ,경상북도 문경시 영신로 12 ,0,2018-11-26 15:01:44,2018-11-16 14:09:17
204885,GS타임즈 증평,충청북도 증평군 증평읍 창신로 54,충청북도 증평군 증평읍 창신로 54,0,2018-11-26 14:51:21,2018-11-16 14:09:17
204886,GS타임즈 다이소춘천퇴계본점,강원도 춘천시 영서로 2141번길 7  ,강원도 춘천시 영서로 2141번길 7  ,0,2018-11-20 16:55:22,2018-11-16 14:09:17
204887,GS타임즈 창전동,경기도 이천시 영창로 207  ,경기도 이천시 영창로 207  ,0,2018-11-23 12:00:09,2018-11-16 14:09:17
204891,GS타임즈 달동터미널,울산광역시 남구 달동 1301-11,울산광역시 남구 달동 1301-11,0,2018-11-26 16:59:36,2018-11-16 14:09:17
204892,GS타임즈 농협야음,울산광역시 남구 수암로 285  ,울산광역시 남구 수암로 285  ,0,2018-11-26 17:02:44,2018-11-16 14:09:17
204894,GS타임즈 다이소도화,인천광역시 남구 염전로 254  ,인천광역시 남구 염전로 254  ,0,2018-11-23 11:40:00,2018-11-16 14:09:17
204895,GS타임즈 KEB하나은행경남창원,경상남도 창원시 성산구 중앙대로 38  ,경상남도 창원시 성산구 중앙대로 38  ,0,2018-11-26 17:51:05,2018-11-16 14:09:17
204896,GS타임즈 농협안양1번가,경기도 안양시 만안구 만안로 217  ,경기도 안양시 만안구 만안로 217  ,0,2019-02-21 17:01:41,2018-11-16 14:09:17
204900,GS타임즈 원주농협시청로,강원도 원주시 무실동 1641-1,강원도 원주시 무실동 1641-1,0,2018-11-23 12:00:36,2018-11-16 14:09:17
204901,GS타임즈 엘리움,부산광역시 해운대구 해운대로 794  ,부산광역시 해운대구 해운대로 794  ,0,2018-11-26 18:10:59,2018-11-16 14:09:17
